,0
2020-01-31 00:00:00+00:00,0.0
2020-02-29 00:00:00+00:00,0.0
2020-03-31 00:00:00+00:00,-0.4972407867847659
2020-04-30 00:00:00+00:00,0.026812826109144927
2020-05-31 00:00:00+00:00,0.008531594148326826
2020-06-30 00:00:00+00:00,-0.07329467230213993
2020-07-31 00:00:00+00:00,0.2226097786615242
2020-08-31 00:00:00+00:00,0.1683199585698809
2020-09-30 00:00:00+00:00,-0.06560821151075147
2020-10-31 00:00:00+00:00,-0.058883978886459465
2020-11-30 00:00:00+00:00,0.047479736152022944
2020-12-31 00:00:00+00:00,0.0895797547897299
2021-01-31 00:00:00+00:00,0.011778732772955713
2021-02-28 00:00:00+00:00,0.0346951938747202
2021-03-31 00:00:00+00:00,0.11446309933152965
2021-04-30 00:00:00+00:00,-0.03403794279111105
2021-05-31 00:00:00+00:00,-0.19324301501781127
2021-06-30 00:00:00+00:00,-0.21482731157236912
2021-07-31 00:00:00+00:00,0.14033160385505927
2021-08-31 00:00:00+00:00,-0.04571674567763373
2021-09-30 00:00:00+00:00,-0.1189646258814373
2021-10-31 00:00:00+00:00,-0.11211840750667612
2021-11-30 00:00:00+00:00,0.05103986427038243
2021-12-31 00:00:00+00:00,-0.15052591825476724
2022-01-31 00:00:00+00:00,-0.028648228932015685
2022-02-28 00:00:00+00:00,-0.19591920966750254
2022-03-31 00:00:00+00:00,-0.13745762870947764
2022-04-30 00:00:00+00:00,-0.08766935466332926
2022-05-31 00:00:00+00:00,-0.18521840375306142
2022-06-30 00:00:00+00:00,-0.15467343087299634
2022-07-31 00:00:00+00:00,-0.05533157058002547
2022-08-31 00:00:00+00:00,-0.04511332335190854
2022-09-30 00:00:00+00:00,-0.04519613848371351
2022-10-31 00:00:00+00:00,0.21506871272801287
2022-11-30 00:00:00+00:00,-0.014997998222140652
2022-12-31 00:00:00+00:00,-0.040178251420707745
2023-01-31 00:00:00+00:00,-0.03301784844708
2023-02-28 00:00:00+00:00,-0.14612667594317896
2023-03-31 00:00:00+00:00,-0.061768235753184464
2023-04-30 00:00:00+00:00,-0.09830501382162682
2023-05-31 00:00:00+00:00,-0.10314294797494883
2023-06-30 00:00:00+00:00,-0.023637931433178383
2023-07-31 00:00:00+00:00,-0.01451572317577976
2023-08-31 00:00:00+00:00,-0.2522809400653805
2023-09-30 00:00:00+00:00,-0.01377022965733321
2023-10-31 00:00:00+00:00,-0.1339116357344734
2023-11-30 00:00:00+00:00,-0.10710490936296813
2023-12-31 00:00:00+00:00,-0.13823597102737561
2024-01-31 00:00:00+00:00,-0.1621691497627441
2024-02-29 00:00:00+00:00,0.06450576599265356
2024-03-31 00:00:00+00:00,0.07622264889580865
2024-04-30 00:00:00+00:00,-0.11268089407460313
2024-05-31 00:00:00+00:00,-0.023908958451202555
2024-06-30 00:00:00+00:00,-0.09034885514159352
2024-07-31 00:00:00+00:00,-0.1689780295335851
2024-08-31 00:00:00+00:00,-0.07882893685079395
2024-09-30 00:00:00+00:00,-0.1466767344040647
2024-10-31 00:00:00+00:00,0.09011622144098053
2024-11-30 00:00:00+00:00,-0.18158102568519585
2024-12-31 00:00:00+00:00,-0.17602405267364674
2025-01-31 00:00:00+00:00,-0.07613555712819053
2025-02-28 00:00:00+00:00,-0.1831872916131172
2025-03-31 00:00:00+00:00,-0.13672763784651587
2025-04-30 00:00:00+00:00,-0.14299685661341122
2025-05-31 00:00:00+00:00,-0.09826192412625157
2025-06-30 00:00:00+00:00,-0.0853094951441058
2025-07-31 00:00:00+00:00,-0.1616612349975406
2025-08-31 00:00:00+00:00,0.1990421436599763
2025-09-30 00:00:00+00:00,0.12463727332693875
2025-10-31 00:00:00+00:00,-0.08508292083717861
2025-11-30 00:00:00+00:00,0.06319017772930868
2025-12-31 00:00:00+00:00,-0.0846717011746082
2026-01-31 00:00:00+00:00,0.2768492480702798
2026-02-28 00:00:00+00:00,-0.046681072355921116
2026-03-31 00:00:00+00:00,0.022971434147790903
2026-04-30 00:00:00+00:00,-0.0800878136567088
2026-05-31 00:00:00+00:00,0.04309235851786042
2026-06-30 00:00:00+00:00,0.0871910255876216
2026-07-31 00:00:00+00:00,0.04055508233221139
2026-08-31 00:00:00+00:00,-0.017153091680439103
