alpha,sr_h1,bp_h1,turn_h1,sr_h4,bp_h4,turn_h4,sr_h12,bp_h12,turn_h12,sr_h24,bp_h24,turn_h24,sr_h72,bp_h72,turn_h72,sr_h168,bp_h168,turn_h168
ts_mom_24,0.8838423970689426,0.4845729592080873,2763.59614326181,1.1326258518048435,0.5849357941451738,1429.8950393008943,0.9180703230112711,0.455371241184979,894.3355872085391,0.7183911826911816,0.3494352375106764,698.1792141339201,0.8427720901419812,0.38647334083727,430.52096052475724,0.897173770032993,0.4008951863546752,339.212233507543
ts_mom_168,1.1266383676578733,0.6104710651378011,1338.1050334004117,1.3157870571003516,0.691205061309981,741.1706852569066,1.3299078204683272,0.6804057867532526,483.26866960061164,1.3003896102652062,0.6516930656212497,382.67868260895415,1.2144612175911178,0.582206007649037,273.241602972283,0.8275474413652634,0.37319157638783856,239.83050575454908
ts_mom_720,0.9024200864872707,0.45423553674245104,883.4882739148023,0.8702185392964327,0.4281823956145772,536.801543163346,0.7575700307038097,0.3699564458325645,376.1270513999106,0.7356942657067858,0.3551078457052717,309.8863544199912,0.6044995814217665,0.27922112529707294,227.52750305580045,0.39719920848225465,0.17346711716723426,200.17279596895509
xs_mom_168,0.900258102488239,0.523024818065789,1261.9118370872507,0.9243423507281788,0.5276583096693787,715.8841523604316,0.9169032353578839,0.5171887150329125,476.81340931451285,0.9446023270373766,0.5257526790123217,385.5775093600133,0.8097263892913851,0.4421799813708848,282.34587587071485,0.46202854922962877,0.2394298943917614,250.23554687556467
xs_mom_720,0.62553866849922,0.34212115593623177,869.9091253469113,0.6810914630770001,0.36726534684474127,545.79384105485,0.5941729662621342,0.31770778889541956,391.9740891377276,0.5738378184999847,0.30345583392364806,326.6284326759657,0.30573491477830916,0.15842079463874653,240.86344694545804,0.09059693133123099,0.045240127374209266,211.96607077878704
xs_rev_6,0.380873379388348,0.23297252646597172,4917.1314317237175,-0.7124527913302272,-0.40090588971729096,2762.130666453026,-1.3637362307890308,-0.7704369342093914,1590.4841796437634,-0.8877632020140545,-0.5200984945590591,1136.4143553793372,-0.8993655397318757,-0.5325845336129621,716.536939242708,-0.8391555184150039,-0.4904377597831021,532.6903423652153
xs_rev_24,0.034178092725181804,0.02159216413392301,2537.817887112885,-0.42515829650823633,-0.2541938344837644,1367.1176043225546,-0.35706354879754687,-0.21026972158837504,881.3055448658884,-0.3799769357049268,-0.22508769193221106,702.134383554958,-0.5239286142340714,-0.3005897723345867,437.2784341858458,-0.5158047660038747,-0.2859365508692816,345.4372537217195
xs_rev_72,-0.43365402176482076,-0.2740258207136519,1611.6758426192705,-0.8190067145731639,-0.5013398996216372,878.3105614369631,-0.760519084508193,-0.4577438287673664,572.9932619283366,-0.7328114233849635,-0.4338631747323311,457.4165057399369,-0.6680262593098735,-0.379219029409914,342.92929214512577,-0.5676041770597273,-0.3055791459619513,278.43560664650926
carry,-0.7588508889276299,-0.39579174475152623,662.5852622570209,-0.6486341930461677,-0.3338880114526186,538.3198953424007,-0.39074662644394764,-0.20057682065782323,434.8709188379254,-0.11088437201977068,-0.056935086968518366,379.6844860760343,0.13183615024415435,0.06679870432489245,288.6084370701501,0.02826045098185426,0.013720638774733352,243.65876220787865
carry_chg,-0.35287524128255177,-0.17367176601438628,651.5039540455548,-0.34355549617825853,-0.16663583719201808,532.4056454371294,-0.28248136922462624,-0.13645099734151103,431.41162724766565,-0.12620343427607608,-0.06082813161331559,378.0323121676315,0.05813993950993553,0.028075891951650934,296.5801163991197,0.0184424139356718,0.008585216538872013,271.05673376886443
