cap,min_sr,rebal,band,train_sr,test_sr,train_turn,test_turn
0.05,0.3,4,0.03,0.9015989636316326,1.0788707872801162,214.78416,89.72602
0.05,0.3,4,0.08,1.313881084046206,0.11146910486380511,96.827194,2.8205183
0.05,0.3,4,0.12,0.6390804561076787,0.7604292776817902,74.98392,0.01271847
0.05,0.3,8,0.03,0.7921346238840069,1.2562948917070191,181.25125,86.46773
0.05,0.3,8,0.08,1.572558184721531,-0.13263228681948583,74.41397,2.2473936
0.05,0.3,8,0.12,1.0389745308394818,-0.05313532460469025,59.38449,0.0054264558
0.05,0.3,16,0.03,0.7901425960481633,0.6596142159306352,147.54485,78.33214
0.05,0.3,16,0.08,1.2589274227826028,0.11081927475326318,57.926556,1.7873403
0.05,0.3,16,0.12,0.7753487842841184,0.8665756921004196,46.28625,0.10118878
0.05,0.6,4,0.03,1.0066170010172686,0.9674571315348983,217.66507,94.01831
0.05,0.6,4,0.08,1.0634237458918725,0.12222617939035997,99.264984,3.1918783
0.05,0.6,4,0.12,0.7475128691264445,0.6724291184948707,78.650665,0.0126726255
0.05,0.6,8,0.03,0.7481321036140757,0.96501506039111,183.0564,86.74207
0.05,0.6,8,0.08,1.5128006619928607,-0.11971231531232675,76.75967,2.431689
0.05,0.6,8,0.12,0.8653703465915566,1.2050931603492585,61.981163,0.0056183813
0.05,0.6,16,0.03,0.6015123871033314,0.7907172881901892,149.85768,79.576706
0.05,0.6,16,0.08,1.3029002190997916,0.05181382904588799,58.58943,2.0936427
0.05,0.6,16,0.12,0.5887853924755789,0.9926631306274937,47.009502,0.100337416
0.1,0.3,4,0.03,0.9015408232314004,1.0788707872801162,214.78453,89.72602
0.1,0.3,4,0.08,1.313881084046206,0.11146910486380511,96.827194,2.8205183
0.1,0.3,4,0.12,0.6390804561076787,0.7604292776817902,74.98392,0.01271847
0.1,0.3,8,0.03,0.7921862267579762,1.2562948917070191,181.25143,86.46773
0.1,0.3,8,0.08,1.572558184721531,-0.13263228681948583,74.41397,2.2473936
0.1,0.3,8,0.12,1.0389745308394818,-0.05313532460469025,59.38449,0.0054264558
0.1,0.3,16,0.03,0.792762052071221,0.6596142159306352,147.54582,78.33214
0.1,0.3,16,0.08,1.2589274227826028,0.11081927475326318,57.926556,1.7873403
0.1,0.3,16,0.12,0.7753487842841184,0.8665756921004196,46.28625,0.10118878
0.1,0.6,4,0.03,0.996564987802301,0.9674571315348983,217.58208,94.01831
0.1,0.6,4,0.08,1.0634237458918725,0.12222617939035997,99.26497,3.1918783
0.1,0.6,4,0.12,0.7475128691264445,0.6724291184948707,78.650665,0.0126726255
0.1,0.6,8,0.03,0.7387420367249906,0.96501506039111,182.81674,86.74207
0.1,0.6,8,0.08,1.512847383513887,-0.11971231531232675,76.75968,2.431689
0.1,0.6,8,0.12,0.8653703465915566,1.2050931603492585,61.981163,0.0056183813
0.1,0.6,16,0.03,0.6303445340964693,0.7907172881901892,149.78416,79.576706
0.1,0.6,16,0.08,1.3031849937438078,0.05181382904588799,58.589615,2.0936427
0.1,0.6,16,0.12,0.5887853924755789,0.9926631306274937,47.009502,0.100337416
