alpha,binance_sr,okx_sr,same_sign
ts_mom_24,2.708464633717258,0.7206764872206679,True
ts_mom_168,2.9332294912392,3.1378830156165636,True
ts_mom_720,1.8860681448938355,0.2025850883636559,True
xs_mom_168,3.0089311572170216,2.440863267183929,True
xs_mom_720,0.9174077687846938,-1.1776982756023677,False
xs_rev_6,-2.0242921978871884,0.41116364300417785,False
xs_rev_24,-2.9049576208584766,-0.5044135039163966,True
xs_rev_72,-2.785846354660878,-1.0372335006121183,True
carry,-1.8774317656897597,-0.061873318219082596,True
carry_chg,0.44209092458091265,-0.8507615681017469,False
vol_shock,1.7062086649943857,0.9849372489727881,True
low_vol,-0.5843337750031241,-0.7128627778807142,True
range_pos,3.095852110747063,2.6552641711041494,True
intraday_rev,-2.0545152782864955,0.4226535429164545,False
illiq,-2.6546524262061824,-1.0273003156197067,True
idio_mom,3.327256817743851,3.0477575557161956,True
wick_rev,-2.8942272024350633,-1.1960399533307173,True
fund_extreme,-1.025077127236186,-1.7346969180073903,True
vol_of_vol,-0.08757569798403855,0.9909310412156127,False
mom_accel,1.6579908324415633,1.0046295231720488,True
dv_trend,0.670169172800115,3.0969987202759466,True
resid_rev_24,-2.845708989192328,-1.0095693678075923,True
resid_rev_72,-2.8369245452038787,-1.4467784094263998,True
