,h1,h2,h3,h4,h6,h8,h12,h24,h48,h72,h168
ts_mom_24,-0.026165920474319333,-0.019021302302375056,-0.01583023205726681,-0.013623846883702941,-0.011135459083661918,-0.009614323475194128,-0.008228978089837738,-0.005999823042864961,-0.004259761314154219,-0.0031143704863545044,-0.0015704292104135925
ts_mom_168,-0.02265407926188498,-0.01883554877056984,-0.017174742540485434,-0.015773613199215674,-0.014314752668185835,-0.013433828787132363,-0.012448358571526262,-0.010050031892862313,-0.006893398153123629,-0.005564209916747956,-0.003834925129351815
ts_mom_720,-0.017891056850404825,-0.014797209388106506,-0.013512650750015748,-0.012578689331520235,-0.0116063869502647,-0.011065009517183632,-0.010391076002306765,-0.008599488461421015,-0.005999529166984446,-0.004992972922838353,-0.0034120920794107764
xs_mom_168,-0.018907468203630772,-0.01712878522685817,-0.016632969637532472,-0.015968231957552353,-0.015348261496063826,-0.014874734582347017,-0.014223050984256597,-0.011580960343365067,-0.008490735881739216,-0.007094272349669494,-0.00487021137747996
xs_mom_720,-0.01094994012841753,-0.009417763731480308,-0.008873664064753872,-0.008479938350379634,-0.008202086113131904,-0.00805174377827767,-0.007689859022056834,-0.0065143520691005,-0.0048086719430367846,-0.00412081607648669,-0.003062760782438446
xs_rev_6,0.036968037985779335,0.025743961242843706,0.019385527605339608,0.015285142850452115,0.010928742695688628,0.008211262361280001,0.005229810050070712,0.002792534813726088,0.001077788602480273,0.0005758984670387816,-0.00013352593862650414
xs_rev_24,0.03117968045410979,0.023675653070285848,0.020159617680868686,0.017787609966258697,0.014926467932642682,0.013087856599313415,0.011133616750100932,0.007895227158592855,0.005137766967414544,0.0037963450613138217,0.001916441488908936
xs_rev_72,0.026442825898808753,0.022064009856030135,0.020091449467945884,0.018530013485033366,0.016864285171087186,0.01587540630366391,0.01448697036968954,0.011478380023902272,0.00810355336459962,0.006525274606789029,0.0039380270768055265
carry,-0.008897953439307084,-0.008330933535432905,-0.00805697457690006,-0.007820257566320725,-0.007228688447683023,-0.006957012473389386,-0.006605906614913274,-0.005380302166161486,-0.0030615400146611254,-0.0023874585392778904,-0.0019116346403750344
carry_chg,-0.0058767798509009525,-0.0057439934307465185,-0.005130119489067607,-0.004901006960926701,-0.004449785213996358,-0.004261899134447011,-0.004049050494215251,-0.003171641943521319,-0.00188295959875813,-0.0015411675540026874,-0.001234225536478664
ofi_24,-0.008026463711437292,-0.004957587151380069,-0.0033988208004072993,-0.002496391235582006,-0.0018157101812618273,-0.0014033573648742689,-0.0009456673846126508,-0.00011793607348855369,0.0004537197994134203,0.000960634707585281,0.0011236244250456087
ofi_6,-0.011890865457394267,-0.007434394961228935,-0.004950757043907837,-0.003396818038922639,-0.002454759901985442,-0.001715959871540393,-0.001056332059684256,-0.00019050061113190178,0.0004914406176400578,0.0006339630933693371,0.000844434591216491
vol_shock,-0.023157938251517664,-0.019076848335132124,-0.016749999197049326,-0.015401032784376455,-0.01313857272208372,-0.011972776544159429,-0.010777299756970537,-0.008770299368160378,-0.005833558910416968,-0.004733825024000814,-0.002798015007367028
low_vol,0.04068437776581175,0.03571543311919974,0.03375458336034103,0.0323707846609984,0.03045712129003071,0.029405920013575126,0.02777779837783278,0.023828125109703398,0.01833447186382713,0.0162980487342577,0.012459047962192625
range_pos,-0.020658263914084755,-0.014690596676249043,-0.011986787480248685,-0.01007966294549794,-0.008012306491391437,-0.006831049138427196,-0.00549429484216148,-0.003888478732589374,-0.0022883403698186534,-0.0015154671474816239,-0.0007053890973862619
intraday_rev,0.03697115180793767,0.02573681058090709,0.01936867843866462,0.015282606267340001,0.010945592323915773,0.008245039855930298,0.0052624893268316975,0.0028262237669566303,0.0011021329845252777,0.0005896945614731737,-0.0001277834659220103
illiq,0.030863873156985053,0.027458410359960637,0.026189639252358333,0.02508591165038698,0.023578874691316965,0.02262305658099735,0.02113520620262912,0.01768567323273703,0.01307748071962712,0.01146890587779426,0.008718897435685722
idio_mom,-0.025141239311074825,-0.021208831039900396,-0.01962579641966079,-0.018200688329886743,-0.016719302410519932,-0.01583290780769187,-0.014709350404692675,-0.011933329304199911,-0.008381813915778155,-0.006976064312599879,-0.004706701162646668
wick_rev,0.0040683715874705656,0.005561395697504191,0.0055252505004556455,0.0051555760485307005,0.0046744072537906285,0.004241819543521155,0.003703368772638935,0.003329981220420939,0.002450880231552072,0.0020011467154413837,0.001367302646487729
fund_extreme,-0.004137223371176865,-0.00395151561320464,-0.0037924415751900723,-0.0038246762515341463,-0.0035911144182719044,-0.0037047420556193225,-0.003836467609695204,-0.0035465479989271716,-0.0022993568034300996,-0.002126834953978887,-0.0015023491615473708
vol_of_vol,0.00875192259603875,0.009042573238209697,0.009043921122998457,0.008864694482613445,0.008557190330400097,0.00847436621952398,0.008053898457320173,0.006867894168429685,0.005241473332067878,0.004819431647477105,0.0035454817959182936
mom_accel,-0.020321531041625693,-0.01715691582087496,-0.015576921798565268,-0.014460837381581161,-0.013009500851941835,-0.012236513075101424,-0.01112259072654732,-0.00871729731242219,-0.006096003562153913,-0.004951849476093858,-0.0030411689591407125
dv_trend,-0.019517439473830923,-0.017755652429942842,-0.01708249058565158,-0.01640460389421595,-0.01557079268104174,-0.01510900484864731,-0.014361422751335206,-0.011780942101532747,-0.007850029087522414,-0.006291779147969237,-0.004003139948921494
resid_rev_24,0.028106634022471245,0.02091253071941127,0.01757412170249082,0.01537793254144294,0.012735866546506281,0.01101587926607158,0.009411487490125246,0.0067141805040190185,0.004473194750320994,0.003261948184339644,0.0016513051935079905
resid_rev_72,0.025607556099072986,0.021165406493361308,0.019124373704141082,0.017526390209681855,0.015913721030805683,0.014913648138201212,0.013574531599514527,0.01054570669428872,0.007385754993224932,0.005950499224656343,0.0036473233061688226
