,0
2020-01-31 00:00:00+00:00,0.0
2020-02-29 00:00:00+00:00,0.0
2020-03-31 00:00:00+00:00,-0.05834033126790561
2020-04-30 00:00:00+00:00,-0.19210922400091923
2020-05-31 00:00:00+00:00,-0.022468804286442712
2020-06-30 00:00:00+00:00,-0.13641769252974978
2020-07-31 00:00:00+00:00,0.14379037330349664
2020-08-31 00:00:00+00:00,0.11667787700746168
2020-09-30 00:00:00+00:00,0.017180711729808396
2020-10-31 00:00:00+00:00,0.18549006028134496
2020-11-30 00:00:00+00:00,0.08956791488884619
2020-12-31 00:00:00+00:00,0.16778053660244163
2021-01-31 00:00:00+00:00,0.15295841755909878
2021-02-28 00:00:00+00:00,0.07250664681760144
2021-03-31 00:00:00+00:00,0.1033397188176417
2021-04-30 00:00:00+00:00,0.021521826424605983
2021-05-31 00:00:00+00:00,-0.04815190191224905
2021-06-30 00:00:00+00:00,-0.1065526899668231
2021-07-31 00:00:00+00:00,0.1498663287270976
2021-08-31 00:00:00+00:00,0.03655400562938893
2021-09-30 00:00:00+00:00,0.05181281390963233
2021-10-31 00:00:00+00:00,0.07047576293940461
2021-11-30 00:00:00+00:00,0.15084985795951633
2021-12-31 00:00:00+00:00,-0.12254315753297595
2022-01-31 00:00:00+00:00,0.006031652528426745
2022-02-28 00:00:00+00:00,-0.1439143554467066
2022-03-31 00:00:00+00:00,-0.12934908919701438
2022-04-30 00:00:00+00:00,-0.13518859242188386
2022-05-31 00:00:00+00:00,-0.28547659894894606
2022-06-30 00:00:00+00:00,-0.09916217323784282
2022-07-31 00:00:00+00:00,-0.09042065964147561
2022-08-31 00:00:00+00:00,-0.06602105226839383
2022-09-30 00:00:00+00:00,-0.13273679781767522
2022-10-31 00:00:00+00:00,0.12061106943168509
2022-11-30 00:00:00+00:00,-0.09132310695308599
2022-12-31 00:00:00+00:00,0.09449329457113276
2023-01-31 00:00:00+00:00,-0.02650843881154985
2023-02-28 00:00:00+00:00,-0.14402344642614473
2023-03-31 00:00:00+00:00,-0.2519007287868643
2023-04-30 00:00:00+00:00,-0.0865708308341655
2023-05-31 00:00:00+00:00,-0.09265168190934614
2023-06-30 00:00:00+00:00,-0.031122069225440474
2023-07-31 00:00:00+00:00,0.022152191602008875
2023-08-31 00:00:00+00:00,-0.22992200470604607
2023-09-30 00:00:00+00:00,0.014746215781464844
2023-10-31 00:00:00+00:00,-0.053628528380954776
2023-11-30 00:00:00+00:00,0.04800768564562041
2023-12-31 00:00:00+00:00,-0.027546186008153728
2024-01-31 00:00:00+00:00,-0.12089520148373512
2024-02-29 00:00:00+00:00,-0.022367218386332377
2024-03-31 00:00:00+00:00,0.10175403730831722
2024-04-30 00:00:00+00:00,-0.11866389157273494
2024-05-31 00:00:00+00:00,0.05311529682073468
2024-06-30 00:00:00+00:00,-0.06483796547545029
2024-07-31 00:00:00+00:00,-0.14521175100624173
2024-08-31 00:00:00+00:00,-0.036204358843053064
2024-09-30 00:00:00+00:00,-0.0053185102234365456
2024-10-31 00:00:00+00:00,0.09062622751131721
2024-11-30 00:00:00+00:00,-0.1484115097131372
2024-12-31 00:00:00+00:00,-0.09206124145255978
2025-01-31 00:00:00+00:00,0.02686261269925838
2025-02-28 00:00:00+00:00,-0.07548460000508883
2025-03-31 00:00:00+00:00,-0.035314879349283235
2025-04-30 00:00:00+00:00,-0.09065825880515654
2025-05-31 00:00:00+00:00,-0.10800211170542284
2025-06-30 00:00:00+00:00,0.0685567394662372
2025-07-31 00:00:00+00:00,0.09334372487443221
2025-08-31 00:00:00+00:00,0.06783831827550246
2025-09-30 00:00:00+00:00,0.11780556166157075
2025-10-31 00:00:00+00:00,-0.045887442328770955
2025-11-30 00:00:00+00:00,0.047295398436490554
2025-12-31 00:00:00+00:00,-0.12049723876412066
2026-01-31 00:00:00+00:00,0.2564500065898496
2026-02-28 00:00:00+00:00,-0.1305083958751131
2026-03-31 00:00:00+00:00,0.10321667673402346
2026-04-30 00:00:00+00:00,0.020135380660244673
2026-05-31 00:00:00+00:00,0.01534407132691773
2026-06-30 00:00:00+00:00,0.14980833866113885
2026-07-31 00:00:00+00:00,0.024477367907313807
2026-08-31 00:00:00+00:00,-0.004009436338087258
